               ticket_id                | status  |              parent_id              |         subject         |                          notes                          
 20260406-RT-319-PRO-TRACE-SINGLE       | CLOSED  | 20260406-RT-318-PRO-TRACE           |                         | 
 20260406-RT-320-PRO-PURGE              | CLOSED  | 20260406-RT-319-PRO-TRACE-SINGLE    |                         | 
 20260406-RT-324-SILENCE                | CLOSED  | STICKY-GENESIS-V1.2.2               |                         | 
 20260406-RT-325-GHOST-HUNT             | CLOSED  | 20260406-RT-324-SILENCE             |                         | 
 20260406-RT-326-USER-UNIFICATION       | CLOSED  | 20260406-RT-325-GHOST-RECOVERY      |                         | 
 20260406-RT-327-USER-FINAL             | CLOSED  | STICKY-GENESIS-V1.2.2               |                         | 
 20260406-RT-325-GHOST-RECOVERY         | CLOSED  | STICKY-GENESIS-V1.2.2               |                         | 
 20260406-RT-363-HYPERLOOP-AUDIT        | CLOSED  | 20260406-RT-362-HYPERLOOP-RESTORE   |                         | 
 20260406-RT-365-TUNNEL-PURGE           | CLOSED  | 20260406-RT-364-BRIDGE-FIX          |                         | 
 20260406-RT-367-AUDIT-RESUME           | CLOSED  | 20260406-RT-366-MESH-SYNC           |                         | 
 20260406-RT-371-VIBE-WORKER            | CLOSED  | 20260406-RT-370-VIBE-FLOW           |                         | 
 20260406-RT-372-VIBE-EXEC              | CLOSED  | 20260406-RT-371-VIBE-WORKER         |                         | 
 20260406-RT-373-LOGIC-PARITY           | CLOSED  | 20260406-RT-372-VIBE-EXEC           |                         | 
 20260406-RT-374-FIX-PARITY             | CLOSED  | 20260406-RT-373-LOGIC-PARITY        |                         | 
 20260406-RT-378-GHOST-PURGE            | CLOSED  | 20260406-RT-377-GHOST-RESO          |                         | 
 20260406-RT-393-PRIME                  | CLOSED  | 20260406-RT-392-PIPE-HANDSHAKE      |                         | 
 20260406-RT-395-CONFIRM                | CLOSED  | 20260406-RT-394-VERIFY-PARITY       |                         | 
 20260406-RT-412-IGNITE                 | CLOSED  | 20260406-RT-411-UNIFY               |                         | 
 20260406-RT-413-COMPLETE               | CLOSED  | 20260406-RT-412-IGNITE              |                         | 
 20260406-RT-424-NETWORK                | CLOSED  | 20260406-RT-423-HUD-ORCHESTRATION   |                         | 
 20260406-RT-426-CONFLICT               | CLOSED  | 20260406-RT-425-HUD-STABILIZE       |                         | 
 20260406-RT-429-PORT-CLEANUP           | CLOSED  | 20260406-RT-428-RECOVERY            |                         | 
 20260406-RT-449-SCHEMA-FIX             | CLOSED  | 20260406-RT-447-MCP-IGNITION        |                         | 
 20260406-RT-450-CHRONO-SORT            | CLOSED  | 20260406-RT-449-SCHEMA-FIX          |                         | 
 20260406-RT-441-SOURCE-AUDIT           | CLOSED  | 20260406-RT-440-AUTO-IGNITE         |                         | 
 20260406-RT-451-TICKETING-CLEANUP      | CLOSED  | 20260406-RT-450-CHRONO-SORT         |                         | 
 20260406-RT-452-HUB-DISCOVERY          | CLOSED  | 20260406-RT-451-TICKETING-CLEANUP   |                         | 
 20260406-RT-428-RECOVERY               | CLOSED  | 20260406-RT-427-HUD-VERIFY          |                         | 
 20260406-RT-447-MCP-IGNITION           | CLOSED  | 20260406-RT-446-ARCH-DEBRIEF        |                         | 
 20260406-RT-453-RELATION-AUDIT         | CLOSED  | 20260406-RT-452-HUB-DISCOVERY       |                         | 
 STICKY-MASTER-HEAD-5c783fa7            | STICKY  | 20260406-RT-459-MESH-DEEP-DIVE      |                         | 
 20260406-RT-459-MESH-DEEP-DIVE         | CLOSED  | 20260406-RT-458-VERSION-PARITY      |                         | 
 20260406-RT-247-MESH_STABLE            | STALLED | 20260406-RT-246                     |                         | 
 20260406-RT-460-RECONCILE              | CLOSED  | STICKY-MASTER-HEAD-5c783fa7         |                         | 
 20260406-RT-464-VAULT-GENESIS          | STICKY  | 20260406-RT-463-SOT-DEPLOY          |                         | 
 20260406-RT-467-VAULT-PENETRATION      | CLOSED  | 20260406-RT-466-SHARD-RECON         |                         | 
 20260406-RT-468-201-RECON              | STALL   | 20260406-RT-467-VAULT-PENETRATION   |                         | 
 20260406-RT-469-VAULT-UNLOCK           | CLOSED  | 20260406-RT-468-201-RECON           |                         | 
 20260406-RT-476-DUAL-PIVOT             | CLOSED  | 20260406-RT-475-SUB-PROBE           |                         | 
 20260406-RT-489-ROLL-CALL              | CLOSED  | 20260406-RT-488-GMODEM-SCAN         |                         | 
 20260406-RT-496-MESH-RES               | CLOSED  | 20260406-RT-495-BACKPLANE-HEAL      |                         | 
 20260406-RT-497-HARDWARE-SYNC          | CLOSED  | 20260406-RT-496-MESH-RES            |                         | 
 20260406-RT-498-MODEM-RECLAIM          | CLOSED  | 20260406-RT-497-HARDWARE-SYNC       |                         | 
 20260406-RT-516-CRASH-RECLAMATION      | CLOSED  | 20260406-RT-515-ENDPOINT-CHAT       |                         | 
 20260406-RT-517-SCHEMA-FIX             | CLOSED  | 20260406-RT-516-CRASH-RECLAMATION   |                         | 
 20260406-RT-518-GATEWAY-READY          | CLOSED  | 20260406-RT-517-SCHEMA-FIX          |                         | 
 20260406-RT-519-VOLLEY-01-RESOLVE      | CLOSED  | 20260406-RT-518-GATEWAY-READY       |                         | 
 20260406-RT-524-HUMAN-IGNITE           | CLOSED  | 20260406-RT-523-INGRESS-POLL        |                         | 
 20260406-RT-532-CMS-SYNC               | CLOSED  | 20260406-RT-531-ARCHITECT-STUB      |                         | 
 20260406-RT-533-STATUS-SCHEMA-FIX      | CLOSED  | 20260406-RT-532-CMS-SYNC            |                         | 
 20260406-RT-537-S25-RECLAIM            | CLOSED  | 20260406-RT-536-CORE-FIX            |                         | 
 20260406-RT-361-SYNC-DIAGNOSE          | STALLED | 20260406-RT-360-VIBE-DEPLOY         |                         | 
 20260406-RT-362-HYPERLOOP-RESTORE      | STALLED | 20260406-RT-361-SYNC-DIAGNOSE       |                         | 
 20260406-RT-364-BRIDGE-FIX             | STALLED | 20260406-RT-363-HYPERLOOP-AUDIT     |                         | 
 20260406-RT-370-VIBE-FLOW              | STALLED | 20260406-RT-369-VERIFY-REBUILD      |                         | 
 20260406-RT-401-PORTAL                 | STALLED | 20260406-RT-400-SECURE              |                         | 
 20260406-RT-403-PARITY                 | STALLED | 20260406-RT-402-IGNITION            |                         | 
 20260406-RT-407-LOCATE                 | STALLED | 20260406-RT-406-AUDIT               |                         | 
 20260406-RT-408-BREAKOUT               | STALLED | 20260406-RT-407-LOCATE              |                         | 
 20260406-RT-409-SCHISM                 | STALLED | 20260406-RT-408-BREAKOUT            |                         | 
 20260406-RT-410-BRIDGE                 | STALLED | 20260406-RT-409-SCHISM              |                         | 
 20260406-RT-411-UNIFY                  | STALLED | 20260406-RT-410-BRIDGE              |                         | 
 20260406-RT-415-RECOVERY               | STALLED | 20260406-RT-413-COMPLETE            |                         | 
 20260406-RT-416-SYNC                   | STALLED | 20260406-RT-415-RECOVERY            |                         | 
 20260406-RT-456-PARAMETER-SYNC         | STALLED | 20260406-RT-455-PATH-RECON          |                         | 
 20260406-RT-461-ROOT-AUDIT             | STALLED | 20260406-RT-460-RECONCILE           |                         | 
 20260406-RT-465-VAULT-DEEP-DIVE        | STALLED | 20260406-RT-464-VAULT-GENESIS       |                         | 
 20260406-RT-466-SHARD-RECON            | STALLED | 20260406-RT-465-VAULT-DEEP-DIVE     |                         | 
 20260406-RT-470-201-PENETRATION        | STALLED | 20260406-RT-469-VAULT-UNLOCK        |                         | 
 20260406-RT-472-KEY-ROTATION-S25       | STALLED | 20260406-RT-471-VAULT-INDEXING      |                         | 
 20260406-RT-474-CORE-RECOVERY          | STALLED | 20260406-RT-472-KEY-ROTATION-S25    |                         | 
 20260406-RT-477-SA-RECLAMATION         | STALLED | 20260406-RT-476-DUAL-PIVOT          |                         | 
 20260406-RT-478-SHARD-5-RECON          | STALLED | 20260406-RT-477-SA-RECLAMATION      |                         | 
 20260406-RT-480-DIRECT-ROOT            | STALLED | 20260406-RT-479-GCP-AUDIT           |                         | 
 20260406-RT-482-GMUDD-HANDSHAKE        | STALLED | 20260406-RT-481-PASS-CRACK          |                         | 
 20260406-RT-487-PROTO-BRIDGE           | STALLED | 20260406-RT-485-LOGIC-HUD           |                         | 
 20260406-RT-490-PATH-FIX               | STALLED | 20260406-RT-489-ROLL-CALL           |                         | 
 20260406-RT-492-LATERAL-ROOT           | STALLED | 20260406-RT-491-SOCAT-FIX           |                         | 
 20260406-RT-494-39-SHORTCUT            | STALLED | 20260406-RT-493-MEMORY-STRIP        |                         | 
 20260406-RT-499-CORE-STRIP             | STALLED | 20260406-RT-498-MODEM-RECLAIM       |                         | 
 20260406-RT-520-VOLLEY-02-RESOLVE      | STALLED | 20260406-RT-519-VOLLEY-01-RESOLVE   |                         | 
 20260406-RT-525-ARB-IGNITION           | STALLED | 20260406-RT-524-HUMAN-IGNITE        |                         | 
 20260406-RT-534-VAULT-FIX              | STALLED | 20260406-RT-533-STATUS-SCHEMA-FIX   |                         | 
 20260406-RT-538-SYNTAX-FIX             | STALLED | 20260406-RT-537-S25-RECLAIM         |                         | 
 20260406-RT-540-FORCE-FIX              | STALLED | 20260406-RT-539-FIX-FINAL           |                         | 
 20260406-RT-546-SHELL-HEAL             | ACTIVE  | 20260406-RT-545-PIPE-RECOVERY       |                         | 
 20260406-RT-549-AGENTIC-LOOP           | ACTIVE  | 20260406-RT-548-STRIKE-REPAIR       |                         | 
 20260406-RT-551-AGENT-TMP-FIX          | ACTIVE  | 20260406-RT-550-AGENT-VERIFY        |                         | 
 20260407-RT-577-DB-ROLE-FIX            | ACTIVE  | 20260407-RT-574-TYPO-REPAIR         |                         | 
 20260407-RT-581-POINTER-REFACTOR       | ACTIVE  | 20260407-RT-580-HEX-FIX             |                         | 
 20260407-RT-590-HEAL-STRATEGY          | CLOSED  | 20260407-RT-589-DB-VERIFY           |                         | 
 20260407-RT-592-ENVIRONMENT-RESET      | ACTIVE  | 20260407-RT-590-HEAL-STRATEGY       |                         | 
 20260407-RT-629-64-PLAYERS             | ACTIVE  | 20260407-RT-628-SHARDING            |                         | 
 20260408-RT-9030-HUB_STABLE            | ACTIVE  | 20260408-RT-9029-HUB_RECOVERY       |                         | 
 20260408-RT-9029-HUB_RECOVERY          | CLOSED  | 20260408-RT-9028-SCP_INGRESS        |                         | 
 20260408-RT-9040-AUTH_ACCEPT           | ACTIVE  | 20260408-RT-9038-MANUAL_PUMP        |                         | 
 20260408-RT-9042-HUD_PERM              | CLOSED  | 20260408-RT-9041-DAEMON_CHECK       |                         | 
 20260408-RT-9041-DAEMON_CHECK          | CLOSED  | 20260408-RT-9040-AUTH_ACCEPT        |                         | 
 20260408-RT-9044-HYPER_IGNITE          | ACTIVE  | 20260408-RT-9043-FORENSIC_PULL      |                         | 
 20260408-RT-9045-MESH_LAUNCH           | ACTIVE  | 20260408-RT-9044-HYPER_IGNITE       |                         | 
 20260408-RT-9046-BUFFER_FIX            | ACTIVE  | 20260408-RT-9045-MESH_LAUNCH        |                         | 
 20260408-RT-9047-HUB_REBOOT            | ACTIVE  | 20260408-RT-9046-BUFFER_FIX         |                         | 
 RT_MASTER_013                          | STICKY  |                                     | STARBIRTH_GENESIS_STATE | Master context: FOB SPEC Active. 39.mh Source of Truth.
 RT_MIGRATION_008                       | ACTIVE  | RT_MASTER_013                       | 5TB_Migration           | Personal to w-isp.net.
 RT_EVOLUTION_012                       | ACTIVE  | RT_MASTER_013                       | Shadow_Engine           | Scaffold injected.
 RT_DR_014                              | ACTIVE  | RT_MASTER_013                       | Neutral_Zone            | S25_FE Jailbreak ACTIVE.
 RT_EVOLUTION_013                       | CLOSED  | RT_EVOLUTION_012                    | SHADOW_ENGINE_PUSH      | Go shadow_controller logic pushed to 39.mh SSD.
 RT_EVOLUTION_015                       | ACTIVE  | RT_MASTER_013                       | FATALITY_PURGE_LOGIC    | Mortal logic simulation expansion pushed.
 RT_EVOLUTION_016                       | CLOSED  | RT_MASTER_013                       | INDICATOR_LOGIC_PUSH    | MA-25 and entry consensus logic committed to 39.mh.
 RT_EVOLUTION_017                       | CLOSED  | RT_MASTER_013                       | MA25_SQL_CONNECTOR      | Postgres AVG(price) query logic implemented in Go.
(146 rows)

