[Sun Mar 29 20:22:04 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Thu Apr  2 05:05:36 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Thu Apr  2 12:55:02 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Thu Apr  2 12:55:02 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Thu Apr  2 12:55:06 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 12:50:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 12:50:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 12:50:13 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 13:00:06 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 13:00:06 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 13:00:12 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 13:05:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 13:05:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 13:05:14 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 13:15:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 13:15:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 13:15:09 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 13:25:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 13:25:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 13:25:16 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
[Mon Apr  6 13:30:05 CDT 2026] GSH_MESH: AIRGAP_DETECTED_BY_GDIAG | TRIGGERING_GAR
[Mon Apr  6 13:30:05 CDT 2026] GSH_MESH: GAR_INITIATED | SEVERING_DEAD_PIPES
[Mon Apr  6 13:30:28 CDT 2026] GSH_MESH: GAR_COMPLETE | MESH_RESTORED
